sample_id,speaker_id,text,text_rank,source_file_id,reference_file_id,source_wav,reference_wav,target_emotion,model_variant,intensity_mode,alpha,intensity_control,style_beta,rank_intensity,rank_src,rank_ref,rank_gap,speaker_cosine,speaker_ref_cosine,generated_wav,pair_type,emotion_acc,emotion_conf,emotion_ref_cosine,emotion_src_cosine,predicted_emotion,epoch
spk11_txt003_angry,11,That I owe my thanks to you.,3,0011_000003,0011_000353,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Neutral/0011_000003.wav,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Angry/0011_000353.wav,Angry,epoch_00025,inferred,0.6,style,0.6,,,,,0.7440701723098755,0.8423831462860107,,same_speaker_same_text,0.0,0.0001559443771839,-0.2776366770267486,-0.0711731761693954,sad,00025
spk11_txt003_happy,11,That I owe my thanks to you.,3,0011_000003,0011_000703,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Neutral/0011_000003.wav,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Happy/0011_000703.wav,Happy,epoch_00025,inferred,0.6,style,0.6,,,,,0.763984739780426,0.8476318120956421,,same_speaker_same_text,0.0,0.0003470234805718,-0.138418510556221,-0.1316325813531875,sad,00025
spk11_txt003_sad,11,That I owe my thanks to you.,3,0011_000003,0011_001053,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Neutral/0011_000003.wav,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Sad/0011_001053.wav,Sad,epoch_00025,inferred,0.6,style,0.6,,,,,0.7579336166381836,0.8170372247695923,,same_speaker_same_text,1.0,0.9994476437568665,0.3000984787940979,-0.0578453540802001,sad,00025
spk11_txt003_surprise,11,That I owe my thanks to you.,3,0011_000003,0011_001403,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Neutral/0011_000003.wav,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Surprise/0011_001403.wav,Surprise,epoch_00025,inferred,0.6,style,0.6,,,,,0.7025830149650574,0.8084348440170288,,same_speaker_same_text,0.0,0.0001230956841027,-0.3218839168548584,-0.1048491299152374,sad,00025
spk11_txt004_angry,11,They went up to the dark mass job had pointed out.,4,0011_000004,0011_000354,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Neutral/0011_000004.wav,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Angry/0011_000354.wav,Angry,epoch_00025,inferred,0.6,style,0.6,,,,,0.861009418964386,0.8113104701042175,,same_speaker_same_text,0.0,0.0001572333276271,-0.2694066762924194,-0.0539469495415687,sad,00025
spk11_txt004_happy,11,They went up to the dark mass job had pointed out.,4,0011_000004,0011_000704,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Neutral/0011_000004.wav,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Happy/0011_000704.wav,Happy,epoch_00025,inferred,0.6,style,0.6,,,,,0.759611964225769,0.7189373970031738,,same_speaker_same_text,0.0,0.000325227563735,-0.3466503620147705,-0.1610488295555114,sad,00025
spk11_txt004_sad,11,They went up to the dark mass job had pointed out.,4,0011_000004,0011_001054,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Neutral/0011_000004.wav,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Sad/0011_001054.wav,Sad,epoch_00025,inferred,0.6,style,0.6,,,,,0.8502764701843262,0.9064897298812866,,same_speaker_same_text,1.0,0.999444544315338,0.9831328392028807,-0.0534095056354999,sad,00025
spk11_txt004_surprise,11,They went up to the dark mass job had pointed out.,4,0011_000004,0011_001404,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Neutral/0011_000004.wav,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Surprise/0011_001404.wav,Surprise,epoch_00025,inferred,0.6,style,0.6,,,,,0.8029830455780029,0.7650099396705627,,same_speaker_same_text,0.0,0.0001160673637059,-0.3767667114734649,-0.071244977414608,sad,00025
spk11_txt005_angry,11,Clear than clear water!,5,0011_000005,0011_000355,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Neutral/0011_000005.wav,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Angry/0011_000355.wav,Angry,epoch_00025,inferred,0.6,style,0.6,,,,,0.789130449295044,0.5558345317840576,,same_speaker_same_text,0.0,0.0001461770007153,-0.4901184737682342,0.5969537496566772,sad,00025
spk11_txt005_happy,11,Clear than clear water!,5,0011_000005,0011_000705,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Neutral/0011_000005.wav,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Happy/0011_000705.wav,Happy,epoch_00025,inferred,0.6,style,0.6,,,,,0.6947510242462158,0.5240844488143921,,same_speaker_same_text,0.0,0.0002736714377533,-0.1432780623435974,-0.0457165278494358,sad,00025
